production,population,gdp,famine
2437.0,5789228.0,14480556571.5476,0
2460.0,5856472.0,15346741669.7575,0
2550.0,5918002.0,16480058704.8531,0
2500.0,5991785.0,17740013179.26,0
2570.0,6067714.0,18942729779.1,0
2611.0,6136387.0,20524886616.4789,0
2819.0,6319408.0,119008334606.43301,0
2906.0,6354074.0,108993981315.548,0
2806.0,6391309.0,111711490075.358,0
2784.0,6418773.0,111314328474.108,0
2862.0,6441865.0,106285277141.763,0
2859.0,6470365.0,107766112124.04901,0
2788.0,6504124.0,154482372838.957,0
2799.0,6545106.0,193466104144.31302,0
2910.0,6593386.0,209298156700.608,0
2884.0,6646912.0,202078703955.00897,0
2977.0,6715519.0,258066552980.132,0
2979.0,6799978.0,261113787377.964,0
3062.0,6875364.0,271814366804.153,0
3024.0,6938265.0,264353008121.278,0
3091.0,6993795.0,292646657673.466,0
3135.0,7040687.0,342617007103.594,0
3267.0,7071850.0,330091688349.515,0
3217.0,7088906.0,286519135326.948,0
3238.0,7110001.0,295045152020.968,0
3261.0,7143991.0,289912492344.56104,0
3518.0,7184250.0,272055499940.786,0
3320.0,7229854.0,278631271391.325,0
3419.0,7284753.0,301416810214.295,0
3398.0,7339001.0,352914820747.011,0
3415.0,7389625.0,394163688620.82794,0
3307.0,7437115.0,408689353999.35706,0
3332.0,7483934.0,430921192375.17896,0
3420.0,7551117.0,479913034321.89294,0
3563.0,7647675.0,554363487120.303,0
3724.0,7743831.0,541506500413.565,0
3787.0,7824909.0,583782977866.405,0
3976.0,7912398.0,699579638638.2261,0
3882.0,7996861.0,668043614122.87,0
3902.0,8089346.0,688504173431.454,0
187.0,10350242.0,2899654840.3656697,0
214.0,10650667.0,3286773187.87687,0
214.0,10961540.0,3600957771.15299,0
210.0,11281015.0,4356913870.23508,0
211.0,11607681.0,5166861068.421639,0
217.0,11941325.0,6113607728.15672,0
231.0,12282082.0,6204253758.57616,0
230.0,12629329.0,5736083835.224811,0
223.0,12982449.0,6420909789.63824,0
230.0,13341069.0,7432223176.77261,0
240.0,13704335.0,8289582883.50129,0
229.0,14072476.0,9189413409.01292,0
238.0,14447648.0,10994381894.7984,0
250.0,14832841.0,13858441211.2196,0
258.0,15229947.0,16877163792.1284,0
258.0,15639901.0,15947709379.6507,0
267.0,16061323.0,14620386673.8544,0
279.0,16491083.0,12495779622.071001,0
293.0,16924753.0,15962459447.2168,0
292.0,17359120.0,18134029179.6393,0
303.0,17792549.0,21649137620.3055,0
308.0,18225730.0,21793496819.3379,0
308.0,18660439.0,17345624453.6916,0
320.0,19099584.0,17599660054.286,0
330.0,19544956.0,16548827018.2872,0
336.0,19996253.0,15244232957.876001,0
333.0,20451710.0,20702298396.9717,0
337.0,20909895.0,15439408447.2288,0
368.0,21368859.0,22499559086.0343,0
371.0,21826658.0,26410386669.3609,0
374.0,22283128.0,34672122380.7687,0
392.0,22737056.0,36139225287.9079,0
419.0,23184228.0,35158109999.4973,0
429.0,23619356.0,44882079766.8913,0
486.0,24038760.0,53312793687.3836,0
